0
"Netherlands,Bonaire, Sint Eustatius and Saba"
"Netherlands,Curacao"
"Netherlands,Netherlands"
"Netherlands,Sint Maarten"
"Netherlands,nan"
"New Zealand,nan"
"Nicaragua,nan"
"Niger,nan"
"Nigeria,nan"
"North Ireland,nan"
"North Macedonia,nan"
"Norway,nan"
"Oman,nan"
"Others,Diamond Princess cruise ship"
"Pakistan,nan"
"Palestine,nan"
"Panama,nan"
"Papua New Guinea,nan"
"Paraguay,nan"
"Peru,nan"
"Philippines,nan"
"Poland,nan"
"Portugal,nan"
"Qatar,nan"
"Romania,nan"
"Russia,nan"
"Rwanda,nan"
"Saint Barthelemy,nan"
"Saint Kitts and Nevis,nan"
"Saint Lucia,nan"
"Saint Vincent and the Grenadines,nan"
"San Marino,nan"
"Sao Tome and Principe,nan"
"Saudi Arabia,nan"
"Senegal,nan"
"Serbia,nan"
"Seychelles,nan"
"Sierra Leone,nan"
"Singapore,nan"
"Slovakia,nan"
"Slovenia,nan"
"Somalia,nan"
"South Africa,nan"
"South Korea,nan"
"South Sudan,nan"
"Spain,nan"
"Sri Lanka,nan"
"St Martin,France"
"Sudan,nan"
"Suriname,nan"
"Sweden,nan"
"Switzerland,nan"
"Syria,nan"
"Taiwan,nan"
"Tajikistan,nan"
"Tanzania,nan"
"Thailand,nan"
"Timor-Leste,nan"
"Togo,nan"
"Trinidad and Tobago,nan"
"Tunisia,nan"
"Turkey,nan"
"UK,Anguilla"
"UK,Bermuda"
"UK,British Virgin Islands"
"UK,Cayman Islands"
"UK,Channel Islands"
"UK,Falkland Islands (Islas Malvinas)"
"UK,Falkland Islands (Malvinas)"
"UK,Gibraltar"
"UK,Isle of Man"
"UK,Montserrat"
"UK,Turks and Caicos Islands"
"UK,UK"
"UK,United Kingdom"
"UK,nan"
"US, Norfolk County, MA"
"US,Alabama"
"US,Alameda County, CA"
"US,Alaska"
"US,American Samoa"
"US,Arizona"
"US,Arkansas"
"US,Ashland, NE"
"US,Bennington County, VT"
"US,Bergen County, NJ"
"US,Berkeley, CA"
"US,Berkshire County, MA"
"US,Boston, MA"
"US,Broward County, FL"
"US,California"
"US,Carver County, MN"
"US,Charleston County, SC"
"US,Charlotte County, FL"
"US,Chatham County, NC"
"US,Cherokee County, GA"
"US,Chicago"
"US,Chicago, IL"
"US,Clark County, NV"
"US,Clark County, WA"
"US,Cobb County, GA"
"US,Collin County, TX"
"US,Colorado"
"US,Connecticut"
"US,Contra Costa County, CA"
"US,Cook County, IL"
"US,Davidson County, TN"
"US,Davis County, UT"
"US,Delaware"
"US,Delaware County, PA"
"US,Denver County, CO"
"US,Diamond Princess cruise ship"
"US,District of Columbia"
"US,Douglas County, CO"
"US,Douglas County, NE"
"US,Douglas County, OR"
"US,El Paso County, CO"
"US,Fairfax County, VA"
"US,Fairfield County, CT"
"US,Fayette County, KY"
"US,Florida"
"US,Floyd County, GA"
"US,Fort Bend County, TX"
"US,Fresno County, CA"
"US,Fulton County, GA"
"US,Georgia"
"US,Grafton County, NH"
"US,Grand Princess"
"US,Grand Princess Cruise Ship"
"US,Grant County, WA"
"US,Guam"
"US,Harford County, MD"
"US,Harris County, TX"
"US,Harrison County, KY"
"US,Hawaii"
"US,Hendricks County, IN"
"US,Hillsborough, FL"
"US,Honolulu County, HI"
"US,Hudson County, NJ"
"US,Humboldt County, CA"
"US,Idaho"
"US,Illinois"
"US,Indiana"
"US,Iowa"
"US,Jackson County, OR "
"US,Jefferson County, KY"
"US,Jefferson County, WA"
"US,Jefferson Parish, LA"
"US,Johnson County, IA"
"US,Johnson County, KS"
"US,Kansas"
"US,Kentucky"
"US,Kershaw County, SC"
"US,King County, WA"
"US,Kittitas County, WA"
"US,Klamath County, OR"
"US,Lackland, TX"
"US,Lackland, TX (From Diamond Princess)"
"US,Lee County, FL"
"US,Los Angeles, CA"
"US,Louisiana"
"US,Madera County, CA"
"US,Madison, WI"
"US,Maine"
"US,Manatee County, FL"
"US,Maricopa County, AZ"
"US,Marion County, IN"
"US,Marion County, OR"
"US,Maryland"
"US,Massachusetts"
"US,Michigan"
"US,Middlesex County, MA"
"US,Minnesota"
"US,Mississippi"
"US,Missouri"
"US,Montana"
"US,Montgomery County, MD"
"US,Montgomery County, PA"
"US,Montgomery County, TX"
"US,Nassau County, NY"
"US,Nebraska"
"US,Nevada"
"US,New Hampshire"
"US,New Jersey"
"US,New Mexico"
"US,New York"
"US,New York City, NY"
"US,New York County, NY"
"US,Norfolk County, MA"
"US,North Carolina"
"US,North Dakota"
"US,Northern Mariana Islands"
"US,Norwell County, MA"
"US,Ohio"
"US,Okaloosa County, FL"
"US,Oklahoma"
"US,Omaha, NE (From Diamond Princess)"
"US,Orange County, CA"
"US,Orange, CA"
"US,Oregon"
"US,Pennsylvania"
"US,Pierce County, WA"
"US,Pinal County, AZ"
"US,Placer County, CA"
"US,Plymouth County, MA"
"US,Polk County, GA"
"US,Portland, OR"
"US,Providence County, RI"
"US,Providence, RI"
"US,Puerto Rico"
"US,Queens County, NY"
"US,Ramsey County, MN"
"US,Recovered"
"US,Rhode Island"
"US,Riverside County, CA"
"US,Rockingham County, NH"
"US,Rockland County, NY"
"US,Sacramento County, CA"
"US,San Antonio, TX"
"US,San Benito, CA"
"US,San Diego County, CA"
"US,San Francisco County, CA"
"US,San Mateo, CA"
"US,Santa Clara County, CA"
"US,Santa Clara, CA"
"US,Santa Cruz County, CA"
"US,Santa Rosa County, FL"
"US,Sarasota, FL"
"US,Saratoga County, NY"
"US,Seattle, WA"
"US,Shasta County, CA"
"US,Shelby County, TN"
"US,Snohomish County, WA"
"US,Sonoma County, CA"
"US,South Carolina"
"US,South Dakota"
"US,Spartanburg County, SC"
"US,Spokane County, WA"
"US,St. Louis County, MO"
"US,Suffolk County, MA"
"US,Suffolk County, NY"
"US,Summit County, CO"
"US,Tempe, AZ"
"US,Tennessee"
"US,Texas"
"US,Travis, CA"
"US,Travis, CA (From Diamond Princess)"
"US,Tulsa County, OK"
"US,US"
"US,Ulster County, NY"
"US,Umatilla, OR"
"US,Unassigned Location (From Diamond Princess)"
"US,Unassigned Location, VT"
"US,Unassigned Location, WA"
"US,United States Virgin Islands"
"US,Unknown Location, MA"
"US,Utah"
"US,Vermont"
"US,Virgin Islands"
"US,Virgin Islands, U.S."
"US,Virginia"
"US,Volusia County, FL"
"US,Wake County, NC"
"US,Washington"
"US,Washington County, OR"
"US,Washington, D.C."
"US,Washoe County, NV"
"US,Wayne County, PA"
"US,West Virginia"
"US,Westchester County, NY"
"US,Williamson County, TN"
"US,Wisconsin"
"US,Wuhan Evacuee"
"US,Wyoming"
"US,Yolo County, CA"
"Uganda,nan"
"Ukraine,nan"
"United Arab Emirates,nan"
"Uruguay,nan"
"Uzbekistan,nan"
"Vatican City,nan"
"Venezuela,nan"
"Vietnam,nan"
"Western Sahara,nan"
"Yemen,nan"
"Zambia,nan"
"Zimbabwe,nan"
